"NACE Rev.2.1";"NAF 2025 sous-classes";Intitulés
85.31;85.31Y;Enseignement secondaire général
85.32;85.32Y;Enseignement secondaire professionnel
85.33;85.33Y;Enseignement post-secondaire non supérieur
85.4;;Enseignement supérieur
85.40;85.40Y;Enseignement supérieur
85.5;;Autre enseignement
85.51;85.51Y;Enseignement de disciplines sportives et d’activités de loisirs
85.52;85.52Y;Enseignement culturel
85.53;85.53Y;Enseignement de la conduite
85.59;;Autre enseignement n.c.a.
;85.59G;Formation continue d'adultes
;85.59H;Tous les autres enseignements n.c.a.
85.6;;Activités de soutien à l’enseignement
85.61;85.61Y;Activités de service d’intermédiation dans le domaine de l’appui scolaire et du tutorat
85.69;85.69Y;Activités de soutien à l’enseignement n.c.a.
R;;SANTÉ HUMAINE ET ACTIVITÉS D’ACTION SOCIALE
86;;Activités pour la santé humaine
86.1;;Activités hospitalières
86.10;86.10Y;Activités hospitalières
86.2;;Activités des médecins et dentistes
86.21;86.21Y;Activités de médecine générale
86.22;86.22Y;Activités de médecine spécialisée
86.23;86.23Y;Activités de soins dentaires
86.9;;Autres activités pour la santé humaine
86.91;86.91Y;Activités d’imagerie médicale et de laboratoire d’analyse médicale
86.92;86.92Y;Transport de patients par ambulance
86.93;86.93Y;Activités des psychologues et psychothérapeutes, à l’exception des médecins
86.94;;Activités de soins infirmiers et de maïeutique
;86.94G;Activités de soins infirmiers
;86.94H;Activités de maïeutique
86.95;86.95Y;Activités de physiothérapie
86.96;86.96Y;Activités de médecine traditionnelle, complémentaire et alternative
86.97;86.97Y;Activités de service d’intermédiation pour les services médicaux, dentaires et autres services pour la santé humaine
86.99;86.99Y;Autres activités pour la santé humaine n.c.a.
87;;Activités de soins en établissement résidentiel
87.1;;Activités d’hébergement médicalisé
87.10;;Activités d’hébergement médicalisé
;87.10G;Activités d’hébergement médicalisé pour personnes âgées
;87.10H;Activités d’hébergement médicalisé pour enfants en situation de handicap
;87.10J;Activités d’hébergement médicalisé pour adultes en situation de handicap et autres activités d’hébergement médicalisé
87.2;;Activités d’hébergement social pour personnes souffrant de maladie mentale ou de toxicomanie
87.20;;Activités d’hébergement social pour personnes souffrant de maladie mentale ou de toxicomanie
;87.20G;Activités d’hébergement social pour personnes souffrant de maladie mentale
;87.20H;Activités d’hébergement social pour personnes souffrant de toxicomanie
87.3;;Activités d’hébergement social pour personnes âgées ou en situation de handicap physique
87.30;;Activités d’hébergement social pour personnes âgées ou en situation de handicap physique
;87.30G;Activités d’hébergement social pour personnes âgées
;87.30H;Activités d’hébergement social pour personnes en situation de handicap physique
87.9;;Autres activités de soins en établissement résidentiel
87.91;87.91Y;Activités de service d’intermédiation pour des activités de soins en établissement résidentiel
87.99;;Autres activités d’hébergement social n.c.a.
;87.99G;Activités d’hébergement social pour enfants en difficulté
;87.99H;Activités d’hébergement social pour adultes et familles en difficulté et autres activités d’hébergement social n.c.a.
88;;Activités d’action sociale sans hébergement
88.1;;Activités d’action sociale sans hébergement pour personnes âgées ou en situation de handicap
88.10;;Activités d’action sociale sans hébergement pour personnes âgées ou en situation de handicap
;88.10G;Activités d’action sociale à domicile
;88.10H;Activités d’accueil ou d’accompagnement sans hébergement d’adultes en situation de handicap ou de personnes âgées
;88.10J;Activités de réadaptation professionnelle et réinsertion, aide par le travail
88.9;;Autres activités d’action sociale sans hébergement
88.91;;Activités de garde d’enfants
;88.91G;Accueil de jeunes enfants en structure collective
;88.91H;Accueil de jeunes enfants à domicile
;88.91J;Accueil ou accompagnement sans hébergement d’enfants en situation de handicap
88.99;;Autres activités d’action sociale sans hébergement n.c.a.
;88.99G;Autre accueil ou accompagnement sans hébergement d’enfants et d’adolescents
;88.99H;Toutes les autres activités d’action sociale sans hébergement n.c.a.
S;;ARTS, SPORTS ET ACTIVITÉS RÉCRÉATIVES
90;;Activités de création artistique et de spectacle
90.1;;Activités de création artistique
90.11;90.11Y;Activités de création littéraire et de composition musicale
90.12;90.12Y;Activités de création en arts visuels
90.13;90.13Y;Autres activités de création artistique
90.2;;Activités de spectacle
90.20;90.20Y;Activités de spectacle
90.3;;Activités de soutien à la création artistique et aux spectacles
90.31;;Gestion de lieux d’exposition artistique et de salles de spectacles
;90.31G;Gestion d’installations et de lieux de production et de diffusion des arts visuels
;90.31H;Gestion de salles de spectacle vivant
90.39;;Autres activités de soutien à la création artistique et aux spectacles
;90.39G;Activités de production et organisation d'évènements culturels
;90.39H;Activités de soutien technique aux spectacles et aux événements culturels
91;;Bibliothèques, archives, musées et autres activités culturelles
91.1;;Activités des bibliothèques et centres d’archives
91.11;91.11Y;Activités des bibliothèques
91.12;91.12Y;Activités des centres d’archives
91.2;;Activités des musées, collections, monuments et sites historiques
91.21;91.21Y;Activités des musées et collections
91.22;91.22Y;Activité des monuments et sites historiques
91.3;;Conservation, restauration et autres activités de soutien pour la préservation du patrimoine culturel
91.30;91.30Y;Conservation, restauration et autres activités de soutien pour la préservation du patrimoine culturel
91.4;;Activités de gestion de jardins botaniques et zoologiques et de réserves naturelles
91.41;91.41Y;Activités de gestion de jardins botaniques et zoologiques
91.42;91.42Y;Activités de gestion de réserves naturelles
92;;Activités de jeux d’argent et de paris
92.0;;Activités de jeux d’argent et de paris
92.00;92.00Y;Activités de jeux d’argent et de paris
93;;Activités sportives et activités récréatives et de loisirs
93.1;;Activités sportives
93.11;93.11Y;Gestion d’installations sportives
93.12;93.12Y;Activités des clubs de sports
93.13;93.13Y;Activités des centres de fitness
93.19;93.19Y;Autres activités sportives n.c.a.
93.2;;Activités récréatives et de loisirs
93.21;93.21Y;Activités des parcs d’attractions et parcs à thème
93.29;93.29Y;Activités récréatives et de loisirs n.c.a.
T;;AUTRES ACTIVITÉS DE SERVICES
94;;Activités des organisations associatives
94.1;;Activités des organisations économiques, patronales et professionnelles
94.11;94.11Y;Activités des organisations patronales et des chambres représentatives
94.12;94.12Y;Activités des organisations professionnelles
94.2;;Activités des syndicats de salariés
94.20;94.20Y;Activités des syndicats de salariés
94.9;;Activités des autres organisations associatives
94.91;94.91Y;Activités des organisations religieuses
94.92;94.92Y;Activités des organisations politiques
94.99;94.99Y;Activités des organisations associatives n.c.a.
95;;Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles
95.1;;Réparation et entretien d’ordinateurs et d’équipements de communication
95.10;95.10Y;Réparation et entretien d’ordinateurs et d’équipements de communication
95.2;;Réparation et entretien de biens personnels et domestiques
95.21;95.21Y;Réparation et entretien de produits électroniques grand public
95.22;95.22Y;Réparation et entretien d’appareils électroménagers et d’équipements pour la maison et le jardin
95.23;95.23Y;Réparation et entretien de chaussures et d’articles en cuir
95.24;95.24Y;Réparation et entretien de meubles et d’équipements du foyer
95.25;95.25Y;Réparation et entretien d’articles d’horlogerie et de bijouterie
95.29;;Réparation et entretien d’autres biens personnels ou domestiques n.c.a.
;95.29G;Réparation et entretien de cycles et autres engins de la mobilité douce
;95.29H;Réparation et entretien de tous les autres biens personnels ou domestiques n.c.a.
95.3;;Réparation et entretien d’automobiles et de motocycles
95.31;;Réparation et entretien d’automobiles
;95.31G;Réparation et entretien de véhicules automobiles légers (moins de 3,5 tonnes)
;95.31H;Réparation et entretien d'autres véhicules automobiles
95.32;95.32Y;Réparation et entretien de motocycles
95.4;;Activités de service d’intermédiation pour la réparation et l’entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles
95.40;95.40Y;Activités de service d’intermédiation pour la réparation et l’entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles
96;;Activités de services aux personnes
96.1;;Blanchisserie-teinturerie
96.10;;Blanchisserie-teinturerie
;96.10G;Blanchisserie-teinturerie de gros
;96.10H;Blanchisserie-teinturerie de détail
96.2;;Coiffure, soins de beauté, spa et activités similaires
96.21;;Coiffure et activités de barbier
;96.21G;Coiffure et activités de barbier en salon
;96.21H;Coiffure et activités de barbier hors salon
96.22;96.22Y;Soins de beauté et autres activités de traitement esthétique
96.23;96.23Y;Activités de spa, de sauna et de bain de vapeur
96.3;;Services funéraires et activités connexes
96.30;96.30Y;Services funéraires et activités connexes
96.4;;Activités de service d’intermédiation pour des services aux personnes
96.40;96.40Y;Activités de service d’intermédiation pour des services aux personnes
96.9;;Autres activités de service aux personnes
96.91;96.91Y;Activités d’offre de services domestiques aux personnes
96.99;;Autres activités de service aux personnes n.c.a.
;96.99G;Services pour animaux de compagnie
;96.99H;Toutes les autres activités de service aux personnes n.c.a.
U;;"ACTIVITÉS DES MÉNAGES EN TANT QU’EMPLOYEURS ; ACTIVITÉS INDIFFÉRENCIÉES DES MÉNAGES EN TANT QUE PRODUCTEURS DE BIENS ET SERVICES POUR USAGE PROPRE"
97;;Activités des ménages en tant qu’employeurs de personnel domestique
97.0;;Activités des ménages en tant qu’employeurs de personnel domestique
97.00;97.00Y;Activités des ménages en tant qu’employeurs de personnel domestique
98;;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre
98.1;;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
98.10;98.10Y;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
98.2;;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
98.20;98.20Y;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
V;;ACTIVITÉS DES ORGANISATIONS ET ORGANISMES EXTRATERRITORIAUX
99;;Activités des organisations et organismes extraterritoriaux
99.0;;Activités des organisations et organismes extraterritoriaux
99.00;99.00Y;Activités des organisations et organismes extraterritoriaux
